epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,2.718386031533472,0.3905017620406108,0.07774251787872251,2.0865295328039477,0.5209393346379648,0.1653885138555007
2,2.0073205417265605,0.5158583654975667,0.20381369830210166,1.7822214581495162,0.5706457925636008,0.26267728264637036
3,1.785181555537534,0.5510991777143817,0.32033176701528976,1.638881094861637,0.597651663405088,0.3287824422165025
4,1.6412721239174146,0.5810538680986743,0.4144277351144193,1.576331526565925,0.6054794520547945,0.3597532851396446
5,1.569363077768325,0.5863399899311965,0.45761405054517346,1.5098814908305727,0.6172211350293542,0.3801147556708401
6,1.504881327135048,0.5994294344688706,0.48212715312729537,1.475236319655775,0.6207436399217221,0.4075019182147096
7,1.4541032613374019,0.608407450914583,0.5133362294553151,1.446316722927728,0.6262230919765166,0.4278359845871286
8,1.410207405968948,0.6190636012753817,0.5341681462096547,1.4123168578119893,0.6371819960861057,0.4337056535334825
9,1.3834494032062006,0.6200704816244337,0.5521973232003619,1.416183253043785,0.6379647749510763,0.44578422540030194
10,1.3554359698259584,0.6322369525088102,0.5747790095926152,1.3928544331436754,0.6403131115459882,0.4557365782356544
11,1.331896751153827,0.6308944453767411,0.5772070635584159,1.3694221274493492,0.6477495107632094,0.47204000670632346
12,1.3225521858275826,0.6285450578956201,0.5779353907393872,1.375018171414937,0.6504892367906067,0.46738097551245267
