epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,3.299990919576953,0.2695083067628797,0.02285954636420048,2.6380413401616765,0.4023483365949119,0.04191543993484306
2,2.5824660091797043,0.39209598925994293,0.04936141780765916,2.1966078986860302,0.4634050880626223,0.07359553438348503
3,2.2770958689359797,0.4476422218493036,0.09208205252214482,2.015787510022725,0.5048923679060665,0.10996837658847795
4,2.0690174604906573,0.4826313139788555,0.15204036004906024,1.8670306938268433,0.5354207436399218,0.15224682595407008
5,1.9494605709750654,0.5071320691391173,0.19711485101676812,1.7669990592273481,0.5553816046966732,0.2107150464945669
6,1.8601129321488663,0.5191307266319852,0.22871826196605854,1.7119007950426315,0.5706457925636008,0.2236360685073192
7,1.7738678150077778,0.5387648934384964,0.2522376901723688,1.6624586184664014,0.5804305283757338,0.2617882843598039
8,1.7029545528613834,0.5485819768417519,0.2819254438713549,1.5996420635869124,0.5953033268101762,0.2928029958659406
9,1.6396533450657818,0.5612518879006545,0.3031571979057067,1.596511526397063,0.5913894324853229,0.2997481355220794
10,1.5792122881451316,0.5797952676623594,0.3361642241165142,1.6436256982575657,0.6031311154598826,0.3050129417527126
11,1.5026598923717256,0.5910387648934385,0.3607138216340506,1.5268642712012663,0.6172211350293542,0.3411792687182635
12,1.4721451808110362,0.6032891424735694,0.3752806029704604,1.5681013176819116,0.6133072407045009,0.3242256287564141
13,1.4109022324868228,0.6146165464004028,0.39505761983493637,1.5184282195544756,0.6219178082191781,0.3492364700226321
14,1.362583729460208,0.6241819097163954,0.4206160252227545,1.5097469615376393,0.6305283757338552,0.38004342456091006
15,1.329395857277803,0.6251887900654473,0.42258466053995825,1.5265529557450177,0.636399217221135,0.37906691030123435
16,1.297265564251074,0.6367679140795436,0.42755925538043865,1.467340333587736,0.6426614481409002,0.37582034968943584
17,1.2593946221651378,0.641047155563014,0.4473433541513054,1.4954183679737456,0.637573385518591,0.38907147937917647
18,1.2345011249687232,0.6481792247021312,0.4697579448532546,1.505587961529099,0.635225048923679,0.37941366539181953
19,1.1795957718825336,0.6650444705487498,0.49092077080447477,1.4915343235616814,0.6426614481409002,0.38794547101162635
20,1.1694094468171334,0.6646249370699782,0.4966067488113085,1.542052872820143,0.6438356164383562,0.3943448988341237
