model,val_acc,val_macro_f1,test_acc,test_macro_f1
Baseline CNN,0.6438356164383562,0.3943448988341237,0.6348336594911937,0.41002843587254223
EfficientNet-B0 Phase 1,0.6477495107632094,0.47204000670632346,0.6340508806262231,0.4617642796386999
