model,val_acc,val_macro_f1,test_acc,test_macro_f1
Baseline CNN,0.6626223091976516,0.46319478358523186,0.6653620352250489,0.4941440642380901
EfficientNet-B0 Phase 1,0.6430528375733855,0.4692833671550875,0.6348336594911937,0.44725314181513603
