epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,2.752268835809691,0.3806007719416009,0.07254885424615429,2.1340536664376755,0.5142857142857142,0.15198348643775175
2,2.1086675015486493,0.49429434468870614,0.187178313704735,1.81904951956874,0.5604696673189824,0.24361140912292173
3,1.855954503688982,0.5352408122168149,0.29515137588881285,1.674895468196757,0.5859099804305283,0.28757206217940534
4,1.7542129023640443,0.5474911897969458,0.35433946094440977,1.59176262586784,0.597651663405088,0.35038876301677563
5,1.6653921725986427,0.5667058231246853,0.40244944084145595,1.5370533512996367,0.6074363992172211,0.3476751048896067
6,1.615275968939571,0.573418358785031,0.441741128094457,1.4861284240584551,0.6207436399217221,0.4067965288171151
7,1.553324687038818,0.5896962577613694,0.48007134774439303,1.458913418458166,0.62426614481409,0.4124633216866844
8,1.5193848907397405,0.5957375398556805,0.49437469346475926,1.45620404376909,0.62426614481409,0.40509825012597456
9,1.5031807961970454,0.594059405940594,0.5180888918959272,1.4283017390394863,0.635225048923679,0.440216693301531
10,1.4853388394139562,0.5964927001174694,0.5116729075255544,1.400232671898172,0.639921722113503,0.4542101165937673
11,1.4542219211319425,0.6017788219499917,0.5326112789761788,1.3982473575905578,0.6418786692759295,0.4561298525984061
12,1.4341980278501976,0.6059741567377077,0.5388560690443991,1.3846135245843876,0.6430528375733855,0.4692833671550875
