epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,3.0857414897205566,0.3190132572579292,0.032863890457135586,2.482153328430863,0.4360078277886497,0.05509945364417113
2,2.472051201900553,0.4144151703305924,0.0682293546009902,2.171955391198922,0.47084148727984343,0.08309772591713868
3,2.197939664130444,0.4589696257761369,0.1259476202991226,1.9057569823852958,0.5225048923679061,0.1461575085992723
4,2.0200707234078394,0.49379090451418023,0.1870089138576379,1.7631378824696848,0.5499021526418787,0.18456811083807118
5,1.8398908594147154,0.523242154723947,0.24513636839623423,1.6942263591079563,0.5722113502935421,0.2517746337579073
6,1.7196633139399198,0.5448900822285618,0.2840914741086596,1.7205386177667665,0.5722113502935421,0.2472010413511674
7,1.6048767138975821,0.5769424400067126,0.336152251196161,1.5779986846703606,0.6031311154598826,0.3209254860999166
8,1.4937493498242527,0.5985903675113274,0.3760366139195552,1.5444368837864197,0.6097847358121331,0.3417201003840797
9,1.3972244490351247,0.6183923477093473,0.4155996997410958,1.5363055710689895,0.6297455968688845,0.3735360103052095
10,1.3278875734446371,0.6399563685182078,0.4445801077299903,1.4817048848725112,0.6250489236790606,0.36486719742444723
11,1.267036567059994,0.6449068635677127,0.4668485861240909,1.5378341381330547,0.6246575342465753,0.3644308441280764
12,1.2055675259251026,0.6598422554119818,0.49913641453173174,1.4938489850953134,0.6379647749510763,0.399964450230801
13,1.146368024932956,0.6688202718576942,0.505388075381802,1.5195522369004042,0.6414872798434442,0.3837293784943617
14,1.0690289981454426,0.6946635341500251,0.5425536364393845,1.481803042641358,0.6469667318982387,0.40561758256493263
15,1.0275205831676546,0.7002852827655647,0.5682617146534278,1.4831791260937655,0.6598825831702544,0.4396995244913016
16,0.9746086518423211,0.7150528612183252,0.5961207709023364,1.5822405008887124,0.6438356164383562,0.40670705409075736
17,0.9466765603676681,0.7231079040107401,0.5999294594195063,1.5330446746251354,0.64853228962818,0.4381383320216287
18,0.902984232935735,0.7295687195838227,0.6208324082210235,1.491707740884471,0.6626223091976516,0.4541274269032369
19,0.8690348315867107,0.7406444034233932,0.6419187673244154,1.5549537106269493,0.6626223091976516,0.46319478358523186
20,0.8158494734207963,0.7577613693572747,0.655035815902168,1.6055818093966132,0.6579256360078278,0.441804140110848
