epoch,train_loss,train_micro_f1,train_macro_f1,val_loss,val_micro_f1,val_macro_f1
1,1.143770089516273,0.03804771867747402,0.03718942997420444,0.9266804397832751,0.03935079953742473,0.0401182290865977
2,0.8429650663363141,0.041502981172021315,0.04281606452774043,0.8141841511107032,0.04378146626105211,0.0472363482308925
3,0.7515196439984081,0.04556555538112716,0.047940288785714935,0.761248052947007,0.04732658612304528,0.05262436619442115
4,0.705230779668014,0.04906922548518186,0.0520889341030724,0.7316337901536734,0.05002187693967052,0.056368694323589576
5,0.669374913057751,0.05187794065653132,0.05495876238517844,0.7152547768907118,0.05265413711077299,0.05902806880648008
6,0.6433931560886591,0.0542781970734295,0.05755911499475002,0.6979025328244518,0.055773994863519624,0.06414170641689722
7,0.6195600602653001,0.056541898104165995,0.05993577388372674,0.6904474936547826,0.05605083893384538,0.06375460422036827
8,0.6015798039982672,0.05853800676323316,0.06195827453740466,0.6819554590387172,0.05855592305579768,0.06626148353788787
9,0.5890978056017374,0.060399070945945946,0.06383067571648264,0.6815538456731606,0.05983083326213521,0.0688017519283638
10,0.5756536998784858,0.06216238225793317,0.06590762903738029,0.6687562826953549,0.062272132522008666,0.07230931453943658
