model,threshold,test_loss,test_micro_f1,test_macro_f1,avg_true_labels_per_example,avg_predicted_labels_per_example
Baseline CNN,0.08,0.08674072243426717,0.1495766698024459,0.010872517872128343,1.0411937236785889,1.639764666557312
EfficientNet-B0,0.5,0.6889977935183293,0.18827335927593897,0.2020902980966193,1.0411937236785889,8.572509765625
