threshold,val_micro_f1,val_macro_f1,avg_predicted_labels_per_example
0.01,0.08110629949517908,0.03441411305548061,16.531315
0.02,0.10270385050962627,0.028905586818133214,10.839428
0.05,0.134185303514377,0.01649946245397383,2.6460698
0.08,0.1483320403413499,0.010957887147386672,1.6712905
0.1,0.08284600389863547,0.006633367410493719,0.68726355
0.12,0.01973916108565386,0.00217511261615672,0.15468684
0.15,0.006254886630179828,0.0008346765152572775,0.037410676
0.2,0.0,0.0,0.0021017233
0.25,0.0,0.0,0.00084068935
0.3,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.5,0.0,0.0,0.0
